Player,GP,TOI,GAR/60
AARON.EKBLAD,230,5264.46,-0.09
ADAM.CLENDENING,36,569.6,0.04
ADAM.CRACKNELL,69,721.75,0.09
ADAM.ERNE,112,1198.16,0.04
ADAM.GAUDETTE,58,636.46,-0.14
ADAM.HENRIQUE,247,4319.63,0.04
ADAM.LARSSON,235,5022.13,-0.04
ADAM.LOWRY,220,3332.3,0.22
ADAM.MCQUAID,178,2957.77,-0.14
ADAM.PELECH,197,3633,0.04
ADRIAN.KEMPE,189,2588.97,0.04
ALAN.QUINE,95,1133.69,-0.04
ALEC.MARTINEZ,221,4873.89,-0.04
ALEKSANDER.BARKOV,220,4711.14,0.4
ALEX.BIEGA,119,1825.14,-0.18
ALEX.BURMISTROV,72,932.53,-0.4
ALEX.BURROWS,161,2143.53,0
ALEX.CHIASSON,233,3201.76,-0.04
ALEX.DEBRINCAT,160,2591,0.76
ALEX.EDLER,191,4650.57,-0.04
ALEXEI.EMELIN,164,3052.44,-0.14
ALEXEY.MARCHENKO,41,695,-0.14
ALEX.GALCHENYUK,218,3491.23,-0.04
ALEX.GOLIGOSKI,233,5244.75,0
ALEX.IAFALLO,158,2522.15,0.04
ALEX.KERFOOT,159,2217.08,0.4
ALEX.KILLORN,260,4273.93,0.09
ALEX.OVECHKIN,278,5522.15,0.68
ALEX.PETROVIC,151,2449.77,-0.14
ALEX.PIETRANGELO,238,5998.55,0.04
ALEX.RADULOV,232,4515.08,0.22
ALEX.STEEN,225,4080.52,0
ALEX.TUCH,169,2684.83,0.22
ALEX.WENNBERG,228,3931.26,0.04
ANDERS.BJORK,50,606.4,-0.14
ANDERS.LEE,242,4033.7,0.45
ANDREAS.ATHANASIOU,208,3191.32,0.27
ANDREAS.BORGMAN,48,657,-0.14
ANDREAS.JOHNSSON,86,1140.75,0.36
ANDREAS.MARTINSEN,99,961.62,-0.22
ANDRE.BURAKOVSKY,218,2748.22,0.09
ANDREI.MARKOV,68,1510.73,0.09
ANDREI.SVECHNIKOV,79,1155.92,0.36
ANDREJ.SEKERA,149,2903.87,0.04
ANDREJ.SUSTR,124,1972.04,-0.09
ANDREW.COGLIANO,259,3708.32,0.09
ANDREW.COPP,229,2914.78,0.18
ANDREW.LADD,176,2769.2,0.22
ANDREW.MACDONALD,192,3662.05,-0.14
ANDREW.MANGIAPANE,53,538.63,0.18
ANDREW.SHAW,184,2867.65,0.09
ANDY.ANDREOFF,81,804,-0.22
ANDY.GREENE,232,4934.15,-0.04
ANDY.WELINSKI,36,565.8,-0.36
ANTHONY.BEAUVILLIER,215,3039.16,0.14
ANTHONY.BITETTO,95,1174,-0.22
ANTHONY.CIRELLI,115,1655.1,0.27
