"id","name","gamesPlayed","timeOnIce","garSixty"
"8049aad2-6905-4196-b41c-c6a50a68cc3f","aaron ekblad","230","5264.46","-0.09"
"49f74c34-aaa9-4a65-9d08-2e9b2bfb0766","adam clendening","36","569.6","0.04"
"d9577e73-2094-42a6-86e0-ca86d6fa3165","adam erne","112","1198.16","0.04"
"ef668d33-dad6-4626-8338-63a00e75051d","adam gaudette","58","636.46","-0.14"
"dc188c17-5274-428a-aa7b-057c72b1cbde","adam henrique","247","4319.63","0.04"
"8aa43805-6451-4c58-b5a3-cfcb6b510a3a","adam larsson","235","5022.13","-0.04"
"c67cd42f-4ec9-4824-8970-3a269e1ccc26","adam lowry","220","3332.3","0.22"
"72faba3e-d9f9-4c06-b790-415dfc28a262","adam pelech","197","3633","0.04"
"91f3409a-de96-4623-901d-8cd745622b84","adrian kempe","189","2588.97","0.04"
"2f191586-f5bb-4e24-9895-d278baa8f675","alan quine","95","1133.69","-0.04"
"5ad3e835-0466-4d55-a1d9-c8d01e957633","alec martinez","221","4873.89","-0.04"
"bdc9e557-f7d3-43b1-8b95-dd11b8e2708f","aleksander barkov","220","4711.14","0.4"
"0ffedd16-8719-4657-b668-b96d3f1c6d48","alex biega","119","1825.14","-0.18"
"8fc7f79a-611f-4784-aac2-0d5723eefac2","alex chiasson","233","3201.76","-0.04"
"e9965d63-2f99-4244-9f9a-3f3e1ef2e93f","alex debrincat","160","2591","0.76"
"41444290-6178-4010-8c16-fe3055af50db","alex edler","191","4650.57","-0.04"
"953df126-7106-4f92-8d03-25a63ff2d09c","alex galchenyuk","218","3491.23","-0.04"
"bf9d7262-0222-430d-b5d5-a806dd99ff5e","alex goligoski","233","5244.75","0"
"51dcfc03-7ef4-4579-bf71-76b222873389","alex iafallo","158","2522.15","0.04"
"b2ad2691-014c-48e5-9f44-49560175fe8d","alex kerfoot","159","2217.08","0.4"
"a9e87b31-baed-40de-8108-4d5862296ed4","alex killorn","260","4273.93","0.09"
"d0836ff0-e517-44bc-89c0-2e6c2dd29595","alex ovechkin","278","5522.15","0.68"
"aeefd8cc-1921-40e0-845a-f40d881a0bf3","alex petrovic","151","2449.77","-0.14"
"344df34a-852d-4de2-b36f-f1a295dadb27","alex pietrangelo","238","5998.55","0.04"
"d2b5abda-21cc-4bf8-a101-7d6813b90db6","alex radulov","232","4515.08","0.22"
"dd3187f8-8af0-45d7-8440-06445f451779","alex steen","225","4080.52","0"
"dc0db44b-0c12-4383-9141-f25e618613c9","alex tuch","169","2684.83","0.22"
"c9b86ed4-b7b7-47b3-8f47-a53fd364cf9e","alex wennberg","228","3931.26","0.04"
"3cf11eaa-71ab-4893-a325-dce41ede2a9d","anders bjork","50","606.4","-0.14"
"4981ffd8-797d-43bb-8fc9-7ae7d07aba94","anders lee","242","4033.7","0.45"
"8bff1b21-3597-489a-be25-cd64c55c5f58","andreas athanasiou","208","3191.32","0.27"
"f25b325a-0e0b-4b5f-8cd1-191975036adb","andreas borgman","48","657","-0.14"
"aaee9c01-68ac-4044-8528-19d34ba8bb05","andreas johnsson","86","1140.75","0.36"
"e4b043fc-991d-45ec-b39b-bbed3a2f3b9a","andreas martinsen","99","961.62","-0.22"
"c67e3eb6-51a5-4795-acf4-11a6325c1941","andre burakovsky","218","2748.22","0.09"
"5cf1c145-50e9-4fb6-b100-2188e2b3fa1a","andrei svechnikov","79","1155.92","0.36"
"4804af6d-fa40-4e5b-a544-7d8c1fc22f5e","andrej sekera","149","2903.87","0.04"
"daf7f249-5162-4c9d-92df-8695a6b676a6","andrew cogliano","259","3708.32","0.09"
"642a6b02-c31f-43b4-8891-a8d378cc069e","andrew copp","229","2914.78","0.18"
"844beeff-f76f-4673-b847-72c2a4603713","andrew ladd","176","2769.2","0.22"
"7f835940-f1e1-4f7a-bd28-fbbd432c4a8d","andrew macdonald","192","3662.05","-0.14"
"44a25ca3-3a13-4033-a8fe-acc616d466b6","andrew mangiapane","53","538.63","0.18"
"79b6588f-2495-4367-94c7-316a61d520d8","andrew shaw","184","2867.65","0.09"
"f775680e-215b-4e62-86d9-de9b3401ac49","andy andreoff","81","804","-0.22"
"e78bb72b-4ab7-44f1-97a8-f4a970cb7ec0","andy greene","232","4934.15","-0.04"
"adefa47b-2efe-4493-bedf-26e82f89a378","andy welinski","36","565.8","-0.36"
"29e088ad-fa85-4ae3-821d-c470bf7a56a1","anthony beauvillier","215","3039.16","0.14"
"22ddfd6e-6d95-4e13-b93e-c7f6a0fac7e9","anthony bitetto","95","1174","-0.22"
"7d12d91d-d1af-4f5c-91f7-abfc78861ab0","anthony cirelli","115","1655.1","0.27"
"486104dd-e0f5-44d6-ba1e-d05968a35602","anthony deangelo","39","666.6","-0.22"
"4d6e931c-d4c3-48eb-9465-096eaad7f83e","anthony duclair","186","2425.75","0.04"
"4302e2a5-780f-40fb-ac28-af67b8dd0650","anthony mantha","204","3473.29","0.27"
"d57b70c3-587a-4564-abf9-0babc8798f52","antoine roussel","198","2732.93","0.18"
"39df2536-a6a7-4795-bfd6-cfd4763c12c6","anton lindholm","60","809.14","0"
"5d7afa77-4e96-47c9-9f22-d5e93e8e0663","anton stralman","216","4711.09","0.04"
"a6da503a-3161-45af-9868-86b708783715","anze kopitar","241","5254.6","0.27"
"dc7677d6-2dcc-428b-bd0d-84ba333f5bb8","artem anisimov","214","3622.28","-0.04"
"4766f050-1700-4759-a118-bc3822dd39ab","artemi panarin","249","4978.72","0.36"
"bd6f76ec-b36c-4178-8ebb-c25a42f7df5b","artturi lehkonen","224","3416.66","0.22"
"f817cbf6-4178-4ab6-b654-ad11ed0f2e90","austin czarnik","111","1339.38","0.18"
